job_id,analysis_period_label,execution_time_seconds,is_qos_violation,query_preview_1000
job_DMPzgljo2D0HPbwSCyz0EdYV0C9L,Baseline_2025_Sep_Oct,344,True,"SELECT
    v_component_platform.page_retailer_moniker  AS v_component_platform_page_retailer_moniker
FROM `narvar-data-lake.analytics.v_component_platform`
     AS v_component_platform
WHERE ((UPPER(( v_component_platform.page_retailer_moniker  )) LIKE UPPER('%') OR UPPER(( v_component_platform.page_retailer_moniker  )) LIKE UPPER('% %')))
GROUP BY
    1
ORDER BY
    1
LIMIT 1000"
job_Z3V8aR0WCXBpfp-kZ9NqnV7i2WKr,Peak_2024_2025,137,True,"SELECT
    (DATE(v_order_details_flattened.order_date )) AS v_order_details_flattened_order_date,
    COUNT(*) AS v_order_details_flattened_count
FROM narvar-data-lake.internal.v_order_details_flattened  AS v_order_details_flattened
WHERE (v_order_details_flattened.checkout_locale ) LIKE '%US%' AND ((( v_order_details_flattened.order_date  ) >= ((TIMESTAMP_ADD(TIMESTAMP_TRUNC(CURRENT_TIMESTAMP(), DAY, 'UTC'), INTERVAL -1099 DAY))) AND ( v_order_details_flattened.order_date  ) < ((TIMESTAMP_ADD(TIMESTAMP_ADD(TIMESTAMP_TRUNC(CURRENT_TIMESTAMP(), DAY, 'UTC'), INTERVAL -1099 DAY), INTERVAL 1100 DAY)))))
GROUP BY
    1
ORDER BY
    1 DESC
LIMIT 500"
job__1V4dI1TZiiET-eiyylyS8m9bcfD,Baseline_2025_Sep_Oct,135,True,SELECT max(DATE(ingestion_timestamp)) FROM analytics.v_claims_latest 
job_GTKjEBKLkquiTv1ilGQ9USHWBylG,Baseline_2025_Sep_Oct,132,True,"SELECT
    COUNT(DISTINCT v_track_click_visit_rollup.tracking_number ) AS v_track_click_visit_rollup_unique_tracking_number,
    COALESCE(SUM(CASE WHEN (v_track_click_visit_rollup.click_sub_type  IN ('assist_pill_open', 'help_pill')) THEN CAST(v_track_click_visit_rollup.count AS NUMERIC) ELSE NULL END), 0) AS click_count
FROM
    analytics.v_track_click_visit_rollup AS v_track_click_visit_rollup
WHERE ((( date ) >= ((DATE_ADD(DATE_TRUNC(CURRENT_DATE('UTC'), MONTH), INTERVAL -3 MONTH))) AND ( date ) < ((DATE_ADD(DATE_ADD(DATE_TRUNC(CURRENT_DATE('UTC'), MONTH), INTERVAL -3 MONTH), INTERVAL 3 MONTH)))))
LIMIT 500"
job_Sh-UuWR-CZww4KnD0rqBsXkEcB3Q,Baseline_2025_Sep_Oct,90,True,"SELECT
    AVG(CAST(v_customer_feedback.rating AS NUMERIC)) AS average_of_rating
FROM `narvar-data-lake.analytics.v_customer_feedback`
     AS v_customer_feedback
WHERE ((( v_customer_feedback.date  ) >= ((DATE_ADD(DATE_TRUNC(CURRENT_DATE('UTC'), MONTH), INTERVAL -3 MONTH))) AND ( v_customer_feedback.date  ) < ((DATE_ADD(DATE_ADD(DATE_TRUNC(CURRENT_DATE('UTC'), MONTH), INTERVAL -3 MONTH), INTERVAL 3 MONTH))))) AND (v_customer_feedback.retailer_moniker ) = 'outletasics'
LIMIT 500"
job_RfV2r-GIP8K1OBJULfSZLYZAVg0E,Baseline_2025_Sep_Oct,77,True,"SELECT
    v_retailer_category.category  AS v_retailer_category_category
FROM analytics.v_track_click_visit_rollup  AS v_track_click_visit_rollup
LEFT JOIN `narvar-data-lake.analytics.v_retailer_category`
     AS v_retailer_category ON v_track_click_visit_rollup.retailer_moniker = v_retailer_category.retailer 
WHERE (v_retailer_category.category ) = 'Apparel/Accessories/Footwear'
GROUP BY
    1
ORDER BY
    1
LIMIT 500"
job_1xlhjCUuxGZCsbMPtpTlfdhev55F,Peak_2024_2025,62,True,"WITH sms_optin_rate_pkg_lvl AS (--sms_opt_in_rate_package
--Metabse https://noflake.narvar.com/question/2501
WITH
  sms_tracking_numbers AS
    (
      (
        SELECT event_ts, retailer_moniker, tracking_number,
        FROM `analytics.v_consumer_notification_preferences`
        WHERE
          event_ts BETWEEN TIMESTAMP_SUB(TIMESTAMP('2024-01-01 00:00:00'), INTERVAL 14 DAY) AND TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP('2024-01-01 00:00:00')), INTERVAL 1 YEAR))
          AND 1=1 -- no filter on 'sms_optin_rate_pkg_lvl.locale' 

          AND notification_channel LIKE '%sms%'
          AND notification_preference_level = 'tracking'
          AND user_action = 'SUBSCRIBE'
          AND 1=1 -- no filter on 'sms_optin_rate_pkg_lvl.retailer_moniker' 

      )
      UNION ALL
      (
        SELECT event_ts, retailer_moniker, tracking_number
        FROM `analytics.v_watch_list_hub_sms`
        WHERE event_ts BETWEEN TIMESTAMP_SUB(TIMESTAMP('2024-01-01 00:00:00'), INTERVAL 14 DAY) AND TI"
job_YlWPjrM-dF1u_xYd6srPEn6aHGxQ,Baseline_2025_Sep_Oct,62,True,"SELECT
    v_retailer_category.category  AS v_retailer_category_category
FROM analytics.v_track_click_visit_rollup  AS v_track_click_visit_rollup
LEFT JOIN `narvar-data-lake.analytics.v_retailer_category`
     AS v_retailer_category ON v_track_click_visit_rollup.retailer_moniker = v_retailer_category.retailer 
WHERE (v_retailer_category.category ) = 'Apparel/Accessories/Footwear'
GROUP BY
    1
ORDER BY
    1
LIMIT 500"
job_oQj1nHc1lPtBO5DcDWtFZTfeGP94,Peak_2024_2025,58,True,"SELECT
    (DATE(return_created_date)) AS return_details_return_created_date,
    COUNT(DISTINCT return_details.return_process_info_id) AS count_of_return_process_info_id
FROM
    analytics.v_return_details_looker AS return_details
WHERE ((( return_created_date ) >= ((TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP_TRUNC(TIMESTAMP_TRUNC(TIMESTAMP(FORMAT_TIMESTAMP('%F %H:%M:%E*S', CURRENT_TIMESTAMP(), 'UTC')), DAY), YEAR)), INTERVAL -2 YEAR)))) AND ( return_created_date ) < ((TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP_TRUNC(TIMESTAMP_TRUNC(TIMESTAMP(FORMAT_TIMESTAMP('%F %H:%M:%E*S', CURRENT_TIMESTAMP(), 'UTC')), DAY), YEAR)), INTERVAL -2 YEAR))), INTERVAL 3 YEAR))))))
GROUP BY
    1
ORDER BY
    1 DESC
LIMIT 500"
job_jdEKaYLW2nVhg6GzYmho9tpGJhR3,Baseline_2025_Sep_Oct,56,True,"WITH sms_optin_rate_pkg_lvl_month AS (--sms_opt_in_rate_package
    --Metabse https://noflake.narvar.com/question/2501
    WITH
      sms_tracking_numbers AS
        (
          (
            SELECT date(event_ts) as date, retailer_moniker, tracking_number,
            FROM `analytics.v_consumer_notification_preferences`
            WHERE
              event_ts BETWEEN TIMESTAMP_SUB(TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP_TRUNC(TIMESTAMP_TRUNC(CURRENT_TIMESTAMP(), DAY, 'UTC'), MONTH)), INTERVAL -3 MONTH)), INTERVAL 14 DAY) AND TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP_TRUNC(TIMESTAMP_TRUNC(CURRENT_TIMESTAMP(), DAY, 'UTC'), MONTH)), INTERVAL -3 MONTH))), INTERVAL 3 MONTH))
              AND 1=1 -- no filter on 'sms_optin_rate_pkg_lvl_month.locale' 

              AND notification_channel LIKE '%sms%'
              AND notification_preference_level = 'tracking'
              AND user_action = 'SUBSCRIBE'
              AND 1=1 -- no filter on 'sms_optin_r"
